instance,tGRASP,tTS,tPR,tEX,nSol,Q,D
medium1,0.005,0.376,0.018,2.782,1.6,1.748,586.2
medium10,0.019,0.371,0.024,2.569,2.2,7.625,746.001
medium2,0.004,0.395,0.017,2.367,2.6,14.581,612.001
medium3,0.011,0.407,0.019,2.393,1.4,1.039,682.238
medium4,0.004,0.386,0.019,2.882,2.0,6.975,740.402
medium5,0.008,0.366,0.023,2.712,2.2,2.864,717.4
medium6,0.004,0.405,0.011,2.11,1.2,4.338,685.2
medium7,0.007,0.397,0.019,2.401,2.0,4.073,680.61
medium8,0.012,0.379,0.031,2.242,1.8,4.69,671.8
medium9,0.009,0.379,0.026,2.163,3.0,1.409,793.017
small1,0.001,0.383,0.003,0.221,1.8,32.364,179.2
small10,0.005,0.434,0.003,0.232,1.6,13.806,173.6
small11,0.004,0.374,0.003,0.23,2.0,21.647,230.6
small12,0.001,0.446,0.003,0.204,2.6,24.674,195.0
small13,0.001,0.423,0.005,0.288,2.0,16.44,228.411
small14,0.002,0.453,0.003,0.225,2.4,9.332,206.008
small15,0.001,0.295,0.003,0.224,1.2,1.569,161.6
small16,0.001,0.497,0.005,0.233,1.2,0.063,209.2
small17,0.001,0.453,0.003,0.197,1.2,1.083,281.261
small18,0.002,0.507,0.003,0.197,1.0,0.0,237.2
small19,0.001,0.364,0.002,0.255,1.6,8.804,113.8
small2,0.002,0.512,0.006,0.211,2.4,7.442,215.8
small20,0.001,0.373,0.006,0.21,1.4,7.347,188.4
small3,0.001,0.487,0.003,0.203,1.2,1.29,139.6
small4,0.001,0.396,0.003,0.198,2.0,49.335,106.6
small5,0.001,0.496,0.003,0.211,1.8,5.458,238.6
small6,0.001,0.418,0.003,0.211,2.2,8.386,177.622
small7,0.002,0.555,0.002,0.237,1.2,2.798,202.4
small8,0.005,0.324,0.006,0.217,1.0,0.0,113.6
small9,0.001,0.465,0.002,0.213,2.0,4.164,280.8
verySmall1,0.0,0.061,0.001,0.05,1.0,0.0,10.4
